4026,1213.2
2035,848.0
987,759.6
2255,744.0
3961,579.4
975,573.8
1478,570.2
1608,563.2
3299,525.4
3117,504.2
1769,494.4
3439,492.4
2389,488.6
925,488.4
2400,478.6
566,478.4
207,474.0
3936,473.2
2924,469.4
1524,465.0
600,461.8
454,457.6
2566,454.8
3400,449.6
2720,449.0
2800,449.0
3882,448.0
2959,447.2
1104,444.8
924,441.6
2591,439.6
3173,438.8
1809,437.4
2215,435.4
331,435.2
339,432.2
2574,430.4
3958,427.6
1761,426.6
3038,426.0
1090,421.4
3454,420.2
15,419.2
676,418.8
3563,418.0
1554,416.4
630,416.0
3053,415.0
123,413.4
77,412.8
